培养方向名称,专业类别名称,培养方向特色与优势
时空信息技术,测绘工程,"以计算机技术、测绘科学与技术在地学资源空间信息化中的应用为主要特点，研究时空大数据、智慧油田、智慧海洋、智慧城市等领域中驱动的空间信息理论与技术，注重与地质资源与地质工程、地球物理学、信息科学等多学科交叉融合和创新研究。"
空间导航与定位,测绘工程,"以空间导航与定位理论与技术研究为主要特点，研究GNSS高精度定位与定轨的理论、方法和技术、组合导航与自主导航定位技术、深远海水下导航定位、北斗卫星导航与定位系统关键技术，注重与人工智能、海洋油气勘探、信息科学等多学科交叉融合和创新研究。"
海洋测绘与遥感,测绘工程,"以海洋测绘与遥感理论与方法研究为主要特点，研究海岛海岸带调查，海洋动力环境调查、海底地貌测绘、重力反演、海洋地球动力学、摄影测量与遥感、新型遥感处理技术、海洋与海岸带避感等的理论与方法，注重与海洋科学、信息科学、地球物理学、环境科学等多学科交叉融合创新。"
能源化工,化学工程,"研究石油、煤和生物质等含碳能源的转化规律，构建重质含碳能源化学分子水平研究体系，研究重质含碳能源与高效清洁转化与利用的反应过程；开发重质含碳能源高效清洁低碳化转化的新工艺、新装备和新催化剂技术，重点研究重质含碳能源高效转化、产品质量升级、分子定向转化、固体有机废物的资源化/无害化利用等。"
工业催化,化学工程,"以催化科学原理为基础，以新型催化材料和催化剂在石油资源综合利用与新产品开发中的应用为特色，研究工业催化剂的设计与制备、催化反应动力学、催化剂失活机理及再生等；建立涉及催化过程的物理化学性质在不同尺度之间的内在联系，探索材料结构与催化性能的关系，提出催化剂制备的新方法、新路线；研究新颖催化反应工艺路线，改进产品制备方法，开发环境友好催化反应过程。"
精细化工,化学工程,"研究石油与天然气高效清洁转化与利用的反应化学，开展精细化学品化学、油田化学品化学以及功能高分子材料、炭材料、催化材料的研究与开发，深入研究材料组成、结构与性能之间的内在关系和关键科学问题，开发材料制备新技术。"
化工安全,化学工程,"培养具备扎实的化工专业基础知识和工程实践能力，掌握现代化工安全工程和管理的基本理论、方法，熟悉国家的安全方针、政策和法规，了解化工生产安全、安全应急、火灾与爆炸等领域的国内外发展状况和趋势，以及较强的发现问题、分析问题、解决问题的能力。"
新能源材料与工程,化学工程,"研究新能源材料结构设计与性能调控规律，开发新一代高性能绿色能源材料、技术和器件，发展新能源材料组成、结构、性能的测试技术与分析方法，开发新能源材料（新型锂离子电池材料、新型燃料电池材料、新型太阳能电池材料、新型储能材料、电催化）相关的新材料、新工艺、新技术、新器件、新设备等技术。"
特种电机与电器,电气工程,"围绕新能源与石油石化领域电气工程发展需求，开展特种电机与电器的本体设计及其控制应用技术研究。包括非常规油气储层改善与开发、风能/波浪能等可再生清洁能源的高效能转换及利用、新能源汽车的先进驱动与控制、高温超导电机和水磁电机等特种电机的研究与设备研制等，为非常规油气采收率提升和机电能量高效转换提供工程理论与技术支撑。"
新能源电力变换,电气工程,"针对新能源发电、电能储放及特殊电源需求，开展电力电子技术及其应用研究。包括新能源电力化电力系统分析设计、新能源电能变换拓扑与控制、新能源发电系统虚拟同步控制、新型电力电子器件应用等方面研究，为新能源的高效开发和利用提供工程理论与技术支撑。"
电力系统及其自动化,电气工程,"围绕石油石化电网和高比例新能源与电力电子设备接入的现代电力系统发展需求，开展石油石化电网与现代电力系统的规划与设计、运行与控制、保护与安全研究。包括电力物联网与人工智能技术、电力系统故障分析/保护与诊断技术、电能质量分析与治理技术、系统安全分析与控制技术的研究及设备研制，为石油石化电网和现代电力系统安全运行提供工程理论与技术支撑。"
能源科技翻译,翻译硕士,"该方向依托学校优势学科，结合毕业生就业情况及市场需求，聚焦能源领域三大板块，包括石油工程（含装备）、地面建设以及新能源等，培养俄语+英语+能源的复合型高级翻译人才。"
公共服务翻译,翻译硕士,"该方向根据社会发展及市场需求，结合毕业生就业情况，聚焦交通、旅游、文化娱乐、体育、教育、医疗卫生、电子通信、餐饮住宿及商业金融等公共服务相关领域，培养具有扎实的语言基本功、一定的英语语言应用能力及公共服务相关领域专业知识的复合型、实用性高级翻译人才。"
油气资源与地质工程,地质工程,"该方向培养研究生掌握坚实的油气资源勘探、油气田开发地质理论与关键技术，地质学、地球物理学、信息科学等多学科理论和方法，能够解决国家油气资源的常规、深层和非常规-低渗透油气三大战略及接替领域的重要勘探工程问题、油气藏开发地质关键问题。注重培养服务于国家油气资源勘探工程技术、油气藏开发地质工程技术与工程管理的高层次专门人才。"
地球物理勘探工程,地质工程,"该方向以地球物理理论、方法与技术为主要特点，研究地球介质中各种地球物理场基本特征、地球物理数据采集方法和技术、资料处理和综合解释的理论与方法，注重地球物理与地质、计算机、数学、人工智能等学科的融合与创新研究，解决地球物理勘探重大工程和关键技术问题，注重培养服务于地球物理勘探工程及其相关领域的应用型、复合型高层次工程技术和工程管理专门人才。"
地球物理测井工程,地质工程,"该方向以地球物理测井理论、方法与技术为主要特点，研究井下深部地球物理场基本特征、探测方法和信息采集技术、测井信息处理及地质应用等，开发适合复杂地质条件下地球物理测井新方法和新技术，注重地球物理测井理论与地质学、数学、电子学、自动化和计算机等学科交叉融合和创新研究，解决油气地球物理测井重大工程与关键技术问题，培养服务于油气地球物理工程及其相关领域的应用型、复合型高层次工程技术和工程管理专门人才。"
计算机视觉及应用,人工智能,"通过对计算机视觉相关原理、算法和技术的学习，使学生全面掌握计算机视觉领域，培养学生在计算机视觉工程中的动手能力，使之能够独立进行计算机视觉工程方面的软件开发，并了解计算机视觉学术发展的前沿。"
数据挖掘及应用,人工智能,"通过对数据挖掘中的基本概念的理解，使学生能够针对具体问题进行抽象，选择或建立相应的数据挖掘模型，掌握数据预处理、关联挖掘、分类回归、聚类分析等经典算法，并能够独立进行数据挖掘方面的软件开发，了解数据挖掘学术发展的前沿。"
智能化感知与控制系统,人工智能,"以石油化工、工业机器人、工业物联网等复杂工业过程的“安稳优控制”为背景，开展非线性工艺建模、智能感知、智能控制、智能优化与计算、故障诊断与容错控制等研究，并应用到实际复杂工业过程的产品质量监控和优化过程中。"
船舶与海洋结构物及油气装备设计制造,船舶工程,"主要培养从事海洋平台设计建造及安装、单点系泊系统设计与建造、海洋油气装备设计与制造等工作的高层次工程技术人才，包括船舶与海泽工程结构可靠性理论与疲劳分析、海洋结构物流固耦合分析等方向。"
海洋岩土工程,船舶工程,"主要培养从事隔水导管及桩基设计与施工、锚泊系统设计与施工、钻井平台插拨设计与分析、海底管线设计与施工等工作的高层次工程技术人才，重点研究海底井口设计与安装、海底潜坡分析等方向。"
智能信息处理与数据工程,计算机技术,"致力于智能算法的基础理论、算法模型，以及大数据分析、知识和服务等领域的研究，并在智慧油田、智慧城市、生物信息处理等开展应用。重点研究智能信息处理技术、数据挖掘分析、知识工程与知识发现等问题，培养学生具备从事智能信息处理、数据知识工程方向的系统研发能力。"
图形图像处理与虚拟现实,计算机技术,"研究图形图像处理方法，海量、复杂多媒体数据库的分析与识别，及其在油气勘探开发领域中地震数据采集虚拟现实等应用。重点研究复杂地形数据的多层高效预处理方法、石油领域三维地震资料可视化解释、测井资料处理和虚拟井眼规划、地表和地震体高性能处理与可视化等特色领域。"
计算机网络与应用,计算机技术,"致力于网络流量工程、软件定义网络、服务功能虚拟化、物联网、网络安全、网络服务和云计算等关键技术的研究及其在物联网领域的应用。重点研究软件定义网络，边缘网络、移动AdHoc网络、虚拟服务功能等中的部署、移动管理等编排技术及位置隐私、安全访问策略、路由算法等内容。"
能源金融,金融,"全面了解国家能源战略和能源金融政策，洞悉能源产业和金融产业之间的相互影响机理，掌握能源定价、能源金融安全及能源金融风险等相关知识，分析并解决能源行业产融结合以及能源金融市场中的问题。"
财富管理,金融,"系统掌握财富管理的基础知识与国际先进的财富管理专业技术和方法，了解国内外金融法律法规和相关政策，洞悉金融市场规律及金融市场发展的趋势与动向，培养具备实际解决问题能力的复合型、应用型的高层次金融理财专门人才。"
金融市场,金融,"掌握金融市场中各子市场的基本特征及运行规律，熟悉参与金融市场的各类金融机构的经营管理，学会运用各种金融工具参与金融市场交易，利用金融市场的相关理论与政策解决金融领域中存在的现实问题，培养具备国际视野的高素质的专门金融人才。"
文学翻译,翻译硕士（英语笔译）,"根据外国语言文学学科特点，结合毕业生就业情况，聚焦文学领域，培养具有扎实的英语语言基本功，高超的英汉双语翻译能力及中外文学相关领域专业知识的复合型、实用性高级翻译人才。"
科技翻译,翻译硕士（英语笔译）,"依托学校优势学科，结合毕业生就业情况及市场需求，聚焦能源领域三大板块，包括石油工程（含装备）、地面建设、新能源等，培养英语+能源科技的复合型高级翻译人才。"
公共服务翻译,翻译硕士（英语笔译）,"根据社会发展及市场需求，结合毕业生就业情况，聚焦交通、旅游、文化娱乐、体育、教育、医疗卫生、电子通信、餐饮住宿及商业金融等公共服务相关领域，培养具有扎实的英语语言基本功，高超的英汉双语翻译能力及公共服务相关领域专业知识的复合型、实用性高级翻译人才。"
环境污染治理技术与材料,环境工程,"重点研究石油石化等能源行业“三废”污染治理及其资源化技术，综合运用化学、物理、生物、材料等学科的理论与技术方法，开展水污染控制、大气污染控制、固体废物处理处置、“三废”资源化利用等方面的传统技术升级及新技术研发，以及废水、废气、土壤等优先控制污染物治理的新型高效吸附、催化新材料的设计、合成、改性创新理论、技术及应用研究，推动新功能环保材料在“三废”治理及资源化领域的应用。"
风险评估与控制技术,环境工程,"结合现有国家和地方环境质量、环境影响、环境与安全风险评估相关法律法规、政策标准、规范导则等相关要求，重点开展石油石化等能源行业对环境质量影响的定性定量分析、环境风险评估与防控、排污许可制度、环境规划管理、安全控制及预警、安全生产技术、环境与健康等方面的研究，完善以往环境风险评估与控制技术中存在的各种不足或解决存在的各种问题。"
污染环境修复技术,环境工程,"基于国家和地方对场地污染、海洋污染等环境生态修复要求，分析石油石化等能源行业高速发展造成的潜在环境生态影响，结合目前环境污染与生态恢复技术研究现状与国家相关法律法规，发现现有技术的不足和存在的问题，针对性提出改进、完善现有技术的方案，并通过科技研发等手段，有效推进现有技术的革新。"
岩土工程,土木水利,"涉及地下空间开发利用、能源开采利用、土木工程施工运营过程中的岩土工程问题，包括岩土体本构关系、岩土体改良、水压致裂等方面的应用技术，特别是在能源工程中的岩土工程问题研究，如深部油气开采与储存、海洋能源利用等。"
结构工程,土木水利,"涉及土木工程中空间大跨结构及多高层结构理论分析与设计、新型建筑材料研发、材料及结构耐久性设计及评估，以及油气田地面工程结构分析及设计，重点关注装配式建筑结构设计及施工、智能建造及智慧管理等领域。"
防灾减灾工程及防护工程,土木水利,"涉及工程结构抗震特性、减隔震控制、能源储运设施防灾减灾等结构抗震减灾领域，以及地下工程建设期地质灾害防治、运营期病害修复补强等岩土工程灾害防治领域，特别是能源储运基础设施的防灾减灾。"
人工环境工程,土木水利,"涉及天然气、烟道气、氢能、热管理和人工环境营造等方面，在“碳达峰、碳中和”战略下，结合各类能源特点，掌握多能互补、区域能源供应等技术理论，创造绿色低碳环境，以绿色低碳能源高效利用为特色。"
建筑设计,土木水利,"涉及建筑设计及其理论、绿色建筑技术、数字化建筑设计及建造等方面，在“碳达峰、碳中和”和乡村振兴战略背景下，围绕地域建筑设计、传统建筑更新、BIM与建筑数字化等领域展开研究，以绿色建筑设计研究为特色。"
能源系统工程与管理,工程管理,"面向国家能源转型与可持续发展的需求，综合运用系统工程与工程管理的理论方法，研究解决能源战略规划、项目管理、技术创新、系统可靠性管理等问题，培养熟悉能源发展态势、善于运用管理定量分析方法、具有系统思维和国际视野的高层次工程管理人才。"
智慧运营管理,工程管理,"将数据科学与运营管理理论紧密结合，通过数据挖掘、智能算法、优化等数理方法解决运营与供应链管理中的实践问题，培养企业生产运作和信息系统设计、运行和维护的高端工程管理人才。"
项目管理,工程管理,"综合运用系统科学、管理科学、经济学和行为科学及工程方法，结合数据科学和信息技术研究解决重大复杂工程项目管理方面的理论与实践问题，侧重于工程项目评价、决策、计划、实施与控制等过程中的管理问题，培养具有系统思维和计划、组织、协调及决策能力的高端工程管理人才。"
民商经济法律与实务,法律（法学）,"重视与区域地方社会经济发展需求的结合，在公司法、财税金融法、竞争法、银行法等方面进行研究，重点培养面向大型银行、证券公司、基金公司的法律专业人才。"
行政法律与实务,法律（法学）,"以行政法规范、行政法律关系、行政法律制度、行政法的理念、价值、原则以及行政法产生发展历史规律为研究重点，着重探讨行政执法程序的合法性、行政执法制度的制定和执行、具体行政行为的合法性和适当性等问题，重点培养行政执法领域的复合型法律专业人才。"
刑事法律与政策,法律（法学）,"注重与环境司法专门化的制度改革相契合，在环境刑事实体法、环境刑事证据法、环境刑事审判规则、环境刑事判决执行规则研究等方面形成特色，重点培养环境刑事司法领域的复合型法律专业人才。"
环境能源法律与政策,法律（法学）,"重视与能源行业特色相结合，在环境法、自然资源法、石油天然气法、气候变化法、可再生能源法、海洋法等方面形成特色，重点培养面向区域地方和石油石化行业领域的复合型法律专业人才。"
涉外法律与实务,法律（法学）,"在国际经贸法、国际民商法、国际体有法、国际商事神裁法、国际能源法等方面形成特色，重点培养面向能源企业的涉外法律实务人才。"
控制理论及工程应用,控制工程,"针对复杂工业系统的控制工程与技术，以石油化工过程控制为特色，研究控制系统的各种高级控制策略以及控制系统的建模、分析、综合、设计和实现的理论、技术和方法。基于“大数据”“机器学习”和“人工智能”，开展非线性工艺建模、过程监控、故障检测、故障诊断、故障预报等研究。"
智能计算与控制工程,控制工程,"以石油化工、工业机器人、工业物联网等复杂工业过程的“安稳优控制”为背景，基于生物优化计算、模糊理论、神经网络学习、专家系统、群智能控制、人工生物网络、深度学习等理论，开展非线性工艺建模、智能控制、智能优化与计算、故障诊断与容错控制等研究，并应用到实际复杂工业过程的产品质量监控和优化过程中。"
模式识别与信息处理,控制工程,"主要研究大数据背景下如何运用模式识别和机器学习方法进行数据建模、数据挖掘、特征表达、模式分类和识别。同时与石油勘探开发紧密结合，研究深度学习和人工智能算法在地震、钻井和测井数据处理中的应用。在基于流形学习、多视角学习、稀疏学习和深度学习等机器学习理论的多媒体分析应用以及基于脑认知的视觉注意、学习与记忆机制的建模与计算等方向取得多项高水平研究成果。"
生物工程,生物技术与工程,"生物工程作为21世纪的前沿技术之一，在健康、工业、农业、能源、环保等领域有广泛应用。本方向致力于使学生掌握生物化学与工程、生物仪器分析、发酵工程、生物分离工程、蛋白质与酶工程等多学科综合理论知识和实验技能，以及生物工程产品开发的原理和方法，培养具有国际视野和创新精神的综合型高级专业人才。特色学习方向包括生物能源工程、蛋白质分子工程、生物材料工程、生物分离工程、生物传感技术等。"
电化学储能,储能技术,"针对电化学储能技术中的关键问题，开展新型电化学储能器件的设计与制造研究，研发电化学储能器件中关键材料及规模化制备技术，以及电化学储能器件的测试技术和安全性研究。"
氢能综合利用,储能技术,"围绕氢能开发与利用过程中的关键问题，开展氢气制备、纯化技术及材料开发，新型氢气储存技术的基础理论及关键材料研究，以及氢燃料电池关键材料及部件的开发。"
装备材料工程,材料工程,"开展石油石化、海洋工程、机械装备用材的焊接新技术与新装备研究；开展材料的腐蚀、疲劳及污损等分析与评价，研发新型防腐材料、技术与装备。"
能源材料工程,材料工程,"开发绿色高效二次电池、超级电容器、燃料电池、钙钛矿/半导体太阳能电池、制氢与储氢材料及其器件；开发碳材料、金属-有机框架材料、膜材料等微纳多孔材料在气体分离、污水处理、海水淡化等方面的应用。"
材料基因工程,材料工程,"面向能量存储与转化材料、油气功能材料、特种材料及材料加工过程等，依托高性能计算和实验平台，借助现代材料计算和测试表征技术，实现跨尺度研究，探索材料结构与性能间的构效关系，建立材料性能评价标准和预测方法，加速新材料的筛选与高效研发。"
石油机械工程,机械工程,"本培养方向重点围绕陆上和海洋油气装备、非常规油气装备、新能源装备等相关技术研发和应用基础研究工作，并以此开展本专业领域的研究生培养工作。"
机械制造及其自动化,机械工程,"本培养方向重点现代机械装备及其关键零部件的制造工艺方法、工艺装备，以及数字化、智能化制造技术及应用基础理论等开展研究工作，并以此开展本专业领域的研究生培养工作。"
机械电子工程,机械工程,"本培养方向主要围绕智能化数控加工装备、机器人技术、智能汽车，以及其他机电装备的自动化监测与智能化控制技术及应用基础理论等开展研究工作，并以此开展本专业领域的研究生培养工作。"
软件服务工程,软件工程,"该方向培养具备软件工程与油气领域知识的复合型工程技术人才，主要从事“石油工业软件研发”“油气大数据及智能信息处理”“油田工程仿真”三个领域的研究。该方向在油气数据分析、数字油田、人工智能在油气领域中的应用等方面形成了研究特色。"
软件工程技术,软件工程,"该方向培养具备软件工程技术及应用领域工程实践能力的高层次应用型人才，主要从事“软件形式化建模”“智能软件研发”和“高可靠软件研发”三个领域的研究，在软件缺陷预测、软件可靠性建模、软件分析、视频大数据处理、模式识别与图像处理等方面形成了研究特色。"
软件项目管理,软件工程,"该方向培养在软件工程领域从事管理工作的工程管理人才，主要从事“软件项目管理”“软件质量保证”和“软件过程能力评估”三个领域的研究，在软件团队人员的组织与管理、软件度量、软件项目计划、风险管理、软件质量保证、软件过程能力评估、软件配置管理等方面形成了研究特色。"
通信工程,通信工程,"以先进通信系统设计与开发为主线，贯穿通信与计算技术的深度融合，围绕无线通信与组网、水上水下通信、移动计算、智能应用等方向，培养学生掌握通信系统设计、软件开发、电子设计等多种技能，具备面向相关行业（如油气、海洋等）应用开展通信技术研发的能力。"
油气井工程,石油与天然气工程,"以油气井安全、高效建井为目标，针对油气井建井过程中的各种物理、力学与化学现象及其演变规律、形成机理、预测理论和方法、控制技术等开展研究，重点聚焦油气资源（特别是深层、深水、页岩/致密油气、煤层气、天然气水合物等）及地热资源等安全、高效开发的钻完井理论与技术，解决复杂油气井工程技术问题。"
油气藏工程,石油与天然气工程,"以油气等地下资源经济、高效、绿色开发为目标，针对常规油气、非常规油气及新能源开发中遇到的瓶颈问题，重点开展各类油气藏的岩石物性分析、流体相态特征研究、多尺度油气渗流理论、油气藏开发理论与技术、智能油田开发技术、提高采收率工程、地下储气库建设及运行、地热及天然气水合物资源开发等理论与方法的攻关研究。"
油气开采工程,石油与天然气工程,"以近井储层和井筒的高效协同流动为目标，重点围绕常规油气、非常规油气以及新能源开采过程中的工程技术难题，开展高效举升理论与技术、储层改造增产理论与技术、气液固流动与防砂完井理论与技术、泡沫流体高效开采理论与技术、物理-化学强化开采理论与技术，油气开采信息化与实时智能监控理论与方法等的攻关研究。"
油气田化学工程,石油与天然气工程,"针对复杂油气藏和非常规油气资源高效开发面临的工程技术难题，主要采用化学、物理化学等方法，开展提高油气藏采收率新理论与材料、新方法、致密油气低成本高效开发工作液关键技术、天然气水合物的化学抑制与开采等研究。"
海洋油气工程,石油与天然气工程,"针对海洋油气钻完井与开采过程中的各种物理、力学与化学现象、机理，工艺技术与装备，设计与计算方法等开展研究，重点研究海洋油气钻采理论与新技术、井筒多相流动理论与应用、海洋油气开采流动保障、天然气水合物基础物性与相变机理、天然气水合物藏高效开采方法、海洋油气钻探和开发过程中的安全风险管控、环境污染与环保技术等。"
油气储运工程,石油与天然气工程,"运用科学的理论与方法，针对石油、天然气、浆体、氢、二氧化碳等流体，开展地面集输、长距离管道输送、储存工艺与技术等方向研究，发展石油、天然气、浆体、氢、二氧化碳等流体介质储运系统中的工艺、设备、结构、安全与智能化等方面的理论与技术。"
油气化工及新能源安全技术,安全工程,"面向陆上油气、化工、新能源（氢能、电化学储能等）及非常规能源（煤层气、页岩油气）行业中的复杂安全工程问题，开展工艺风险评估方法、作业安全保障技术、装备安全分析理论、安全管理理论与方法、应急管理理论与技术的应用研究，为提升安全生产风险管控能力提供技术支持，培养油气化工及新能源安全工程领域的复合型技术与管理人才。"
安全工程信息化技术,安全工程,"针对油气及能源工业复杂工程问题，开展安全工程信息化技术及应用研究，重点开展生产装备智能化安全检测及预警技术、安全仪表及报警技术、事故后果模拟与仿真技术、智慧化安全系统等研究，培养安全工程信息化工程领域的复合型工程技术与管理人才。"
海洋油气安全技术,安全工程,"针对海洋油气工业的复杂工程问题，开展安全工程方法和技术研究。重点研究海洋石油装备及作业安全理论及方法、海洋（深水）油气生产安全技术、关键海洋石油装备风险分析方法等，为提升海上油气生产的风险管控能力提供理论基础和技术支持，培养海洋油气安全技术方向的复合型安全工程技术与管理人才。"
科技口译,英语口译,"该方向依托我校优势学科，结合毕业生就业情况及市场需求，聚焦能源领域三大板块，包括石油工程（含装备）、地面建设、新能源等，培养英语+能源科技的复合型高级口译人才。"
商务口译,英语口译,"该方向依托我校优势学科，结合毕业生就业情况及市场需求，聚焦国际商务、国际贸易和国际法律相关领域，培养具有扎实的英语语言基本功，高超的英汉双语口译能力及商务等相关领域专业知识的复合型、实用性高级口译人才。"
民商经济法律与实务,法律（非法学）,"重视与区域地方社会经济发展需求的结合，在公司法、财税金融法、竞争法、银行法等法律方面进行研究，重点培养面向大型银行、证券公司、基金公司的法律专业人才。"
行政法律与实务,法律（非法学）,"以行政法规范、行政法律关系、行政法律制度、行政法的理念、价值、原则以及行政法产生发展历史规律为研究重点，着重探讨行政执法程序的合法性、行政执法制度的制定和执行、具体行政行为的合法性和适当性等问题，重点培养行政执法领域的复合型法律专业人才。"
刑事法律与政策,法律（非法学）,"注重与环境司法专门化的制度改革相契合，在环境刑事实体法、环境刑事证据法、环境刑事审判规则、环境刑事判决执行规则研究等方面形成特色，重点培养环境刑事司法领域的复合型法律专业人才。"
环境能源法律与政策,法律（非法学）,"重视与能源行业特色相结合，在环境法、自然资源法、石油天然气法、气候变化法、可再生能源法、海洋法等方面形成特色，重点培养面向区域地方和石油石化行业领域的复合型法律专业人才。"
涉外法律与实务,法律（非法学）,"在国际经贸法、国际民商法、国际体育法、国际商事仲裁法、国际能源法等方面形成特色，重点培养面向能源企业的涉外法律实务人才。"
检测技术与仪器,仪器仪表工程,"以信号检测与估计、测试方法与误差分析、信号分析与处理等检测理论与方法为基础，运用先进的传感器技术、嵌入式系统设计技术、通信技术、光谱检测技术，进行新型传感器、智能信号处理、智能化仪器与装置、网络化测控系统、微纳传感器与微系统、生物电学参数检测等领域的研究与设计开发，实现对多维复杂信息的智能感知、处理、传输和应用。特别是，以石油天然气生产过程为背景，进行多相流检测、化工过程检测、油气管网检测、微地晨监测、天然气水合物检测、随钻测控与通信等油气领域特种检测技术与装置的研究、设计与开发，相关研究具有鲜明的行业特色与优势。"
智能感知与智能系统,仪器仪表工程,"该方向一方面从事模式识别、智能信息处理和物联网的基础理论与方法研究，包括脑认知机制建模、机器学习、深度学习、大数据分析、物联网、边缘计算、安全与隐私保护等；另一方面研究上述理论在智慧城市、工业互联网、石油勘探与海洋开发中的应用，充分发挥网络智能与信息感知技术的优势，为智慧城市、工业互联网、油田勘探与海洋开发等领域提供新的理论与技术支持，相关工作有智能交通、智能工厂、地震信号处理、海洋信息处理、遥感信息分析、智慧油田、数字海洋等。"
超快激光精密测试及微纳传感技术,仪器仪表工程,"该方向基于激光技术、光学测量和激光与物质相互作用等基本原理，针对激光雷达、下一代通信、生物医学、表面材料、集成芯片制造及检测等领域的应用需求，研究激光系统、高时空分辨别量、微纳加工等方向的关键技术难题，开展光纤/微腔光学频率梳、光学频率合成、绝对距离/表面形貌测量、超快光学现象/光信号探测、时间频率基准传输和超快激光微纳加工等先进技术和方法研究，开展微纳传感材料、器件芯片及其阵列构建的新机理、新工艺和新方法研究，以及有效的阵列信号特征提取、模式识别与智能感知技术研究，是微能源技术、传感器技术、纳米技术、机器学习交叉研究的前沿，为物联网、健康医疗、环境监测、食品安全、生物医学、人机交互等相关产业的战略发展提供重要支撑。"
财务会计与审计,会计硕士,"围绕企业、公共部门的会计信息生产和披露，研究会计准则应用、会计核算实务、会计政策与道德伦理等理论和应用问题，重点研究领域包括但不限于企业财务会计、政府单位会计、税务会计、资源与环境会计、商业伦理与会计职业道德、社会责任会计、企业审计、政府审计、内部审计、内部控制、会计（审计）师事务所管理等。"
资本市场与公司理财,会计硕士,"围绕企业、公共部门的资金运动目的、过程和结果，研究公司治理、投融资决策、资本运作、税收筹划、风险管理等理论和应用问题，重点研究领域包括但不限于资金运营管理、财务分析与决策、税务风险与纳税筹划、企业投融资创新、供应链财务、企业并购、金融创新、资金集中运作、财务共享等。"
管理会计与智能会计,会计硕士,"围绕企业、公共部门价值创造系统中的资源整合优化，研究战略决策系统、成本计算与控制系统、成本控制系统、会计智能化等理论和应用问题，重点研究领域包括但不限于财务战略制定、经营决策、预算编制、成本计算、成本控制、绩效评价、管理会计工具整合、商务与政务数据挖掘、智能化会计研究、智能财务决策等。"
理论与实践,汉语国际教育,"熟练掌握汉语国际教育理论、教学技能、技巧，熟练掌握面向汉语国际教育的汉语各要素特点及教学中的应用规律，能够独立在国内外面间母语为非汉语的学习者进行各美型国际汉语课程教学，为“一带一路”沿线国家的能源行业尤其石油行业提供较为充分的汉语国际教有服务。"
汉语本体研究,汉语国际教育,"精通现代汉语各要素特点、应用规律，尤其对面向汉语国际教育的现代汉语语音、文字、词汇、语法等各要素应用特点及规律有深入研究，能够围绕汉语国际教育中的现实语言问题开展研究并提出具有理论指导价值的对策。"
