培养方向, 专业名称, 特色与优势
智慧运营管理, 工程管理, 将数据科学与运营管理理论紧密结合，通过数据挖掘、智能算法、优化、实证等数理方法来解决大数据驱动、基于电商消费者行为和智能制造等情景下的运营与供应链管理中的物流、资金流和信息流等实践问题，培养企业生产运作和信息系统的设计、运行和维护的高端工程管理人才。
项目管理, 工程管理, 将管理理论与管理实践紧密结合，综合运用系统科学、管理科学、经济学和行为科学及工程方法，结合数据科学和信息技术研究解决重大复杂工程项目管理方面的问题，侧重于研究重大复杂工程项目评价、决策、计划、实施与控制等过程中的管理问题。培养掌握工程管理基本理论与方法，能够独立担负项目管理工作，具有系统思维和计划、组织、协调及决策能力的高端工程管理人才。
能源系统工程与管理, 工程管理, 面向国家能源转型与可持续发展的现实需求，综合运用系统工程与工程管理的理论方法，研究解决国家及区域能源战略规划、大型能源项目管理、能源技术创新、能源系统可靠性管理等理论与实践问题。培养熟悉国内外能源发展态势、善于运用管理定量分析方法、具有系统思维和国际视野的高层次工程管理人才。
环境工程, 资源与环境, 重点以石油石化等能源行业“三废”污染治理及其资源化技术为研究对象，综合运用化学、物理、生物、材料等学科的理论与技术方法，重点开展水污染控制、大气污染控制、固体废物处理处置、“三废”资源化利用等方面的传统技术升级及新技术研发，以及废水、废气、土壤等优先控制污染物治理的新型高效吸附、催化新材料的设计、合成、改性创新理论、技术及应用研究，推动新功能环保材料在“三废”治理及资源化领域的应用。
风险评估与控制技术, 资源与环境, 结合现有国家和地方环境质量、环境影响、环境与安全风险评估相关法律法规、政策标准、规范导则等相关要求，重点开展石油石化等能源行业对环境质量影响的定性定量分析、环境风险评估与防控、排污许可制度、环境规划管理、安全控制及预警、安全生产技术、环境与健康等方面的研究，完善以往环境风险评估与控制技术中存在的种种不足或解决存在的各种问题。
污染环境修复技术, 资源与环境, 基于国家和地方对场地污染、海洋污染等环境生态修复要求，分析石油石化等能源行业高速发展造成的潜在环境生态影响，结合目前环境污染与生态恢复技术研究现状与国家相关法律法规，发现现有技术的不足和存在的问题，针对性提出改进、完善现有技术的方案和措施，并通过科技研发等手段，有效推进现有技术的革新。
能源科技翻译, 翻译硕士, 该方向依托我校优势学科，结合毕业生就业情况及市场需求，聚焦能源领域三大板块，一是石油工程（含装备），也叫油田服务，包括钻井、测井、录井、固井、修井、压裂等；二是地面建设，包括建炼油厂建设、修路、修桥、管道铺设、管道穿越等；三是新能源，包括氢能、核能、地热等，培养俄语+英语+能源的复合型高级翻译人才。
公共服务翻译, 翻译硕士, 该方向根据社会发展及市场需求，结合毕业生就业情况，聚焦交通、旅游、文化娱乐、体育、教育、医疗卫生、电子通信、餐饮住宿及商业金融等公共服务相关领域，培养具有扎实的俄语语言基本功，一定的英语语言应用能力及公共服务相关领域专业知识的复合型、实用性高级翻译人才。
科技翻译, 翻译硕士, 该方向根据外国语言文学学科特点，结合毕业生就业情况，聚焦文学领域，培养其有扎实的英语语言基本功，高超的英汉双语翻译能力及中外文学相关领域专业知识的复合型、实用性高级翻译人才。
文学翻译, 翻译硕士, 该方向依托我校优势学科，结合毕业生就业情况及市场需求，聚焦能源领域三大板块，一是石油工程（含装备），也叫油田服务，包括钻井、测井、录井、固井、修井、压裂等；二是地面建设，包括建炼油厂建设、修路、修桥、管道铺设、管道穿越等；三是新能源，包括氢能、核能、地热等，培养英语+能源科技的复合型高级翻译人才。
公共服务翻译, 翻译硕士, 该方向根据社会发展及市场需求，结合毕业生就业情况，聚焦交通、旅游、文化娱乐、体育、教育、医疗卫生、电子通信、餐饮住宿及商业金融等公共服务相关领域，培养具有扎实的英语语言基本功，高超的英汉双语翻译能力及公共服务相关领域专业知识的复合型、实用性高级翻译人才。
战略与营销管理, MBA, 以企业实际面对的战略问题或营销问题为研究对象，以先进的企业战略与营销理念为指导，掌握各种战略管理与营销管理的理论、方法和工具，能够承担企业战略的分析、制定、实施、评价等任务，或承担企业市场研究、营销体系构建、顾客行为分析、品牌管理、客户关系管理、电子商务系统的设计与运行等工作。结合环境友好型行业的特点及战略管理理论与实践前沿，注重把社会责任纳入企业战略，促进社会可持续发展。
运营管理, MBA, 在理解供应链的组成及物流、信息流与资金流基础上，掌握并运用相关理论、方法和工具来分析、设计并实施运营和供应链管理。能够胜任企业采购管理、电商运营、生产计划、供应链金融，质量管理、物流管理和风险控制管理等工作。
公司财务, MBA, 适应“大智移云”环境下财务与会计的数智化发展趋势，聚焦公司资金管理与会计控制，包括会计信息分析与数据应用、财务决策、预算管理及成本控制、纳税筹划等管理活动，并关注石油石化等能源行业和区域经济发展的特殊要求，致力于培养具有转型与会计创新、协同共享、数据驱动、精益管理等财务变革理念且将财务会计思维与业务经营、信息技术深度融合的高素质管理型财会人才，能够胜任现代企业会计数据分析、财务战略制定、投融资管理、预算与成本管理等相关工作。
人力资源管理, MBA, 理解战略性人力资源管理的框架体系，能够制定企业的人力资源发展规划，有效实施招聘、培训、使用、评价与激励等活动，有效构建和谱劳动关系，能够胜任企业中高级人力资源管理专门工作，或与其他管理职能实现战略协同的相关工作。
项目管理, MBA, 针对一次性和独特性的项目特点，综合运用管理科学、系统科学、行为科学及工程方法，结合数据科学和信息技术，科学制定项目决策，有效平衡项目工期、成本、质量等目标，科学制定和高效执行项目计划，有效控制项目风险，能够独立承担项目的策划、决策、评价、计划与控制和风险管理等工作。
控制理论及工程应用, 控制工程, 针对复杂工业系统的控制工程与技术，以石油化工过程控制为特色，以控制理论和信息技术为工具，研究工业领域控制系统的各种高级控制策略以及控制系统的建模、分析、综合、设计和实现的理论、技术和方法：以复杂石油石化过程的安全监控为背景，基于“大数据”“机器学习”和“人工智能”，开展非线性工艺建模、过程监控、故障检测、故障诊断、故障预报等研究：以复杂工业过程为对象，进行工业生产过程的模型化与动态模拟，开展先进工业控制的约束优先级与可行域相关研究、软测量研究。
智能计算与控制工程, 控制工程, 以石油化工、工业机器人、工业物联网等复杂工业过程的“安稳优控制”为背景量，基于生物优化计算、模糊理论、神经网络学习、专家系统、群智能控制、人工生物网络、深度学习等理论，开展非线性工艺建模、智能控制、智能优化与计算、故障诊断与容错控制等研究，并应用到实际复杂工业过程的产品质量监控和优化过程中。
模式识别与信息处理, 控制工程, 主要研究大数据背景下如何运用模式识别和机器学习方法进行数据建模、数据挖掘、特征表达、模式分类和识别：同时与石油勘探开发紧密结合，研究深度学习和人工智能算法在地震、钻井和测井数据处理中的应用，目前，在基于流形学习、多视角学习、稀疏学习和深度学习等机器学习理论的多媒体分析应用以及基于脑认知的视觉注意、学习与记忆机制的建模与计算等方向取得多项高水平研究成果。
油气安全技术, 安全工程, 面向陆上油气、化工、新能源（氢能、电化学储能等）及非常规能源（煤层气、页岩油气）行业中的复杂安全工程问题，开展工艺风险评估方法、作业安全保障技术、装备安全分析理论、安全管理理论与方法、应急管理理论与技术的应用研究，为提升安全生产风险管控能力提供技术支持，培养油气化工及新能源安全工程领域的复合型技术与管理人才。
安全工程信息化技术, 安全工程, 针对油气及能源工业复杂工程问题，开展安全工程信息化技术及应用研究，重点开展生产装备智能化安全检测及预警技术、安全仪表及报警技术、事故后果模拟与仿真技术、智慧化安全系统等研究，培养安全工程信息化工程领域的复合型工程技术与管理人才。
海洋油气安全技术, 安全工程, 针对海洋油气工业的复杂工程问题，开展安全工程方法和技术研究。重点研究海洋石油装备及作业安全理论及方法、海洋（深水）油气生产安全技术、关键海洋石油装备风险分析方法等，为提升海上油气生产的风险管控能力提供理论基础和技术支持，培养海洋油气安全技术方向的复合型安全工程技术与管理人才。
