培养方向名称,特色与优势,专业类别名称
电力系统及其自动化,特色与优势：主要研究新能源与石油石化电力系统建模与仿真、规划与运行、电能质量分析与控制、故障检测与诊断，交直流混合主动配电网保护与控制，油田能源互联网技术等，在石油石化电网安全评估与控制、配电网接地故障检测等方面具有石油石化行业特色与优势。,电气工程
油气渗流理论, 以流体在地层复杂多孔介质中运动规律为研究对象，由流体力学、岩石力学、多孔介质理论、物理化学等方向交叉融合而成。在描述、表征油气藏复杂孔隙介质特征和复杂储层流体构成的基础上，开展多场作用下的多尺度多孔介质的复杂多相流体动力学研究，为油气田开发优化设计、经济有效提高采收率等提供理论基础和方法,油气田开发工程
油气田开发理论与方法, 以油气资源经济、高效、绿色开发为目标，针对常规油气、深水深地油气、非常规油气以及新能源等开发瓶颈问题，重点开展常规/非常规/深层油气藏开发、低渗透及高含水油气藏提高采收率工程、地热及天然气水合物资源开发等理论与方法的攻关研究，为实现油气田降本增效、绿色开发提供理论基础和技术支持,油气田开发工程
采油采气工程理论与技术, 以近井储层和井筒的高效协同流动为目标，重点围绕常规油气、深水深地油气、非常规油气以及新能源的开发，开展高效举升理论与技术、储层改造与增产理论与技术、气液固流动与防砂完井理论与技术、泡沫流体开采理论与技术、物理-化学强化开采理论与技术以及油气开采信息化与实时智能监控理论与方法等的攻关研究，为实现油气开采“降本、高效、安全、绿色”提供理论基础和技术支持,油气田开发工程
化学法提高采收率理论与方法, 针对复杂油气藏和非常规油气资源高效开发面临的工程技术难题，主要采用化学等方法，开展苛刻油藏提高采收率新理论新材料新方法、致密油气提高采收率机理与方法、页岩油气低成本高效开发工作液关键技术、天然气水合物的化学抑制与开采等研究，为安全绿色提高油气采收率提供基础理论和技术支持,油气田开发工程
油气田信息化与智能开发, 针对石油与天然气开发领域对人工智能、大数据和云计算等新一代信息技术的需求，以最新的数学方法和计算机算法为依托，开展油气田信息化理论与方法、人工智能理论与方法、油气田开发智能优化理论与方法、油气生产操控自动化等研究，将先进的信息技术融入油田整个生命周期，为实现油气田的智能开发提供基础理论与技术支持,油气田开发工程
石油化工,研究石油与天然气的物理性质，开发组成结构定性及定量分析方法，推进石油化学结构的认识从超分子的“组分”层次逐步向“分子”层次发展：研究石油高效清洁转化与利用的反应化学，开发石油与天然气加工领域的催化剂（助剂）、新工艺技术和组合工艺优化技术，重点研究重质油高效转化、产品质量升级、分子定向转化新技术。,化学工程与技术
能源化工,研究煤和生物质等重质含碳能源的理化性质，开发组成结构定性和定量分析方法，构建重质含碳能源化学分子水平研究体系，研究重质含碳能源高效清洁转化与利用的反应化学；开发重质含碳能源高效清洁低碳化转化的新工艺、新装备和新催化剂技术，重点研究重质含碳能源热化学转化、圖体有机废物的资源化/无害化利用等。,化学工程与技术
生物化工,将现代生物技术与化学工程技术相结合，围绕新型生物材料开发与应用、生物能源、蛋白质与酶工程、基因工程与细胞工程、生物炼制与工业微生物、高效生物分离、石油生物技术等方面开展基础研究与应用基础研究。,化学工程与技术
工业催化,以催化科学原理为基础，以新型催化材料和催化剂在石油资源综合利用与新产品开发中的应用为特色，研究工业催化剂的设计与制备、催化反应动力学、催化剂失活机理及再生等；建立涉及催化过程的物理化学性质在不同尺度之间的内在联系，探索材料结构与催化性能的关系，提出催化剂制备的新方法、新路线；研究新额催化反应工艺路线，改进产品制备方法，开发环境友好催化反应过程。,化学工程与技术
化学工程,研究化学工业和其他过程工业中特有的化学过程和物理过程的一般原理和共同规律，有关工程因素对过程和装置的放大效应，并应用这些规律来优化工艺过程及装置的开发、设计及操作，包括传递过程、反应过程、分离过程、膜过程、计算机模拟、过程动态学及控制等传统、新型的分离和反应技术。,化学工程与技术
应用化学与材料化工,开展精细化学品化学、石油化学和油田化学品化学及相关材料的研究与开发，以及功能高分子材料、碳材料、纳米材料等领域研究。深入研究材料组成、结构与性能之间的内在关系，弄清材料合成中的关键科学问题，开发材料制备新技术。,化学工程与技术
化工过程机械,据多相反应及分离技术、压力容器安全工程、过程装备系统智能化、流体动密封理论与技术、特种机泵技术、装备节能等，在基础理论研究和重大关键装备开发方面取得突破。,动力工程及工程热物理
工程热物理,工程热物理学是动力工程及工程热物理学科的主要基础学科，是一门研究能量以热的形式转化的规律及其应用的技术科学，主要研究各类热现象、热过程的内在规律，并用以指导工程实践。特色研究方向包括太阳能热力发电、地热能开发、IGCC、分布式能源等基础与工艺科学在能源、化工、油气领域的应用与创新，实现基础理论与工艺系统的设计、优化、制造方面的突破。,动力工程及工程热物理
热能工程,热能工程是研究能源的合理、高效、清洁转换和利用的科学，着重研究通过热能过程和装备实现热能的高效输运与调控、化学能向热能、热能再向机械能转换和利用，研究和开发能量利用的新理论、新技术、新工艺（流程）、新设各和新材料等，为开发高效、清洁、低碳的产品奠定科学理论和工程技术基础。特色研究方向包括油气过程中的热能技术、芯片缓热调控、先进材料内部的热质输运等不同层面界面微观传热传质研究、先进热物性和热物理跨尺度测试，以及高温热泵、热管理原型器件等热能高效利用设备研发。,动力工程及工程热物理
能源环境工程,本学科方向是适应国家资源与环境发展战路需要而设置的多学科交叉型方向，强调国民经济各行业的清洁生产、低碳减排和三废的绿色化处置、资源化利用的基本概念。主要学习和研究能源化工、轻工、核电与火电、冶金等工业领域中与清洁生产、节能减排、三废处理相关的环保工艺和环保设备技术。同体力学、流体力学、热力学、环境科学、化学等学科知识构成本学科方向的主要理论基础。特色研究方向包括多相强化分离技术、油泥资源化处置、烟气污染物超低排放技术、CO2捕集/输送/封存利用技术等，在基础理论研究、技术开发及系统集成、装备成套技术方面取得突破。,动力工程及工程热物理
油气地质与勘探,该方向以油气资源勘探地质理论与技术为主要特点，研究油气勘探面对的地质理论和关键技术，注重利用地学、地球物理学、信息科学等多学科理论和方法，解决国家油气资源的常规、深层和非常规-低渗透油气三大战略及接替领域的重要地质问题，培养服务于国家油气资源勘探与管理的高级工程技术人才,地质资源与地质工程
油气藏开发地质,该方向以油气藏开发地质理论与技术为主要特点，研究常规、非常规油气储层成因与定量表征方法，研究油藏精细描述与剩余油预测方法和技术，注重地学、地球物理学、信息科学等多学科融合应用，解决油气藏开发地质关键问题，培养服务于油气藏开发地质研究与管理的高级人才,地质资源与地质工程
地质工程,该方向以油气田地质工程和工程环境物探的理论和技术方法为主要特点，研究工程地质特性、工程地球物理基本理论、矿产/能源勘查开发领域工程地质评价方法和技术，注重培养利用岩石学、地球化学、地球物理学、工程学等学科交叉能力，解决地质工程领域中的重要问题，培养地质工程、自然灾害及环境监测领域科学研究和管理工作的高级工程技术人才,地质资源与地质工程
地球物理理论、方法与应用,该方向以地球物理基础理论与勘探方法技术为主要特点，研究地球介质中各种地球物理场基本特征、地球物理探测采集方法和技术、资料信息处理和综合解释的理论与方法，注重运用地球物理方法与计算机、数学等学科融合，解决地学重要理论和工程问题，培养服务于自然资源勘探研究与管理的高级工程技术人才,地质资源与地质工程
测井理论、方法与技术,该方向以地球物理测井理论、方法与技术为主要特点，研究钻孔地球物理测井理论、探测方法和采集技术、测井信息处理及应用，注重运用地球物理测井理论与地质学、数学、自动化、电子学、计算机等学科融合，解决地球物理测井重要理论和工程问题，培养服务于国家油气和矿产等资源领域科学研究与管理的高级工程技术人才,地质资源与地质工程
地球信息技术,该方向以现代信息科学、计算机科学及其在地球科学应用为主要特点，研究大数据高性能处理方法和技术，结合智能计算和数据挖掘前沿发展，解决矿产资源/能源勘查开发领域重要科学和技术问题，是地学与信息交叉融合方向，培养相关领域研究与管理工作的高级工程技术人才,地质资源与地质工程
光传感与光电探测技术, 针对海洋与能源领域对光传感与光电探测技术的重大需求，开展相关物质光学性质光传感与光电的应用基础研究以及光学方法在海洋与能源领域应用的重大关键技术、前雕性技术研究。开发高效、稳定的光电探测器件与系统以及满足实时监测需要的新型光学传感与测控装备，形成具有自主知识产权的光电探测方法与技术。,光学工程
新型光电材料与器件, 面向光电领域前沿技术发展的需要，以先进光电功能材料及器件、先进光电子学、集成光子学等为主要研究方向，开展有关光电子材料及激光器件、微纳光电功能材料和器件、近场光学及非线性光学材料等领域的研究。充分发挥学科交叉的优势，研发具有自主知识产权的新型材料与器件。,光学工程
现代光信息技术, 面向信息领域前技术发展的需求，以光学成像技术、现代图像处理技术、先进显示技术等为主要研究方向，开展有关干涉成像技术、数字全息成像与处理技术，超分辨率生物医学成像技术、遥感图像处理技术、现代显示技术等领域的研究。,光学工程
生物材料化工,特色与优势：主要针对生物医学领域与新能源领域的需求，基于天然生物分子和生物相容性高分子为原料，通过仿生策略等手段开发有机、无机功能纳微米材料，并研究这些材料结构与性能之间的内在关系，将其应用于生物医学工程、生物分离工程，能源催化转化以及石油工业等领域。,生物化工
生物能源化工,特色与优势：包括海洋生物能源的开发与利用、生物基化学品高效生产技术、合成生物学及代谢调控发酵、蛋白质与醇工程、精细化学品的绿色炼制及可再生生产、生物质转化的机理及工程化、生物分离纯化技术。,生物化工
生物技术及应用,特色与优势：针对重大疾病的诊断与治疗，将生物技术与纳米技术相结合，开发可用于疾病诊断的生物成像、生物芯片以及生物传感技术，研究与重大疾病相关的关键案与蛋白质的结构与功能关系，探讨其功能调控策略，为相关疾病的治疗及药物设计奠定理论基础，发展和利用多尺度模拟方法探索生命过程的宏观和微观机理。,生物化工
刑事法学,本方向注重与环境司法专门化的制度改革相契合，在环境刑事实体法、环境刑事证据法、环境刑事审判规则、环境刑事判决执行规则研究等方面形成特色，再点培养环境刑事司法领域的复合型法律专业人才。,法学
民商法学,本方向积报回应国家经济发展的需求，在公司法、保险法、国际体育法、国际商事仲裁研究等方面形成特色，重点培养面向公司企业的法律专业人才。,法学
经济法学,本方向密切关注经济发展中的法律问题，在经济法总论、财税金融法、企业和公司法、竞争法、涉外经济法等方面进行研究，重点培养面向大型银行、证券公司、基金公司的法律专业人才。,法学
行政法学,本方向以行政法及其法律规范产生发展的内在规律性及其内在机制为研究目标，着重探讨行政法的本质、内容和形式，行政法的地位和作用，国家行政管理关系以及在这种关系中当事人的地位，由此确立行政法的原则、原理和理论体系。重点培养行政执法领域的复合型法律专业人才。,法学
环境与资源保护法学,本方向注重与能源行业特色相结合，在环境法、自然资源法、石油天然气法、气候变化法、可再生能源法等方面形成特色，重点培养面向石油石化行业领域的复合型法律人才。,法学
软件工程理论,该方向主要从事“软件形式化理论与方法”“软件建模分析与验证”和“网络与软件安全可信”三个领域的研究，在Petri网理论及软件性能评价、DNA计算及应用、膜计算、软件安全可信等方向形成了研究特色，,软件工程
软件工程技术,该方向主要从事“软件测试与质量保证”“多媒体软件技术”和“换入式软件技术”三个领域的研究。在软件缺陷预测、软件可继性建模、实时绘制、视频大数据处理、模式识别与图像处理、无线感知精确定位算法等形成了研究特色。,软件工程
服务工程,该方向主要从事“软件集成与服务”“油田工程仿真”“油气大数据及智能信息处理”三个领域的研究：在语义网与Web技术、与油气领域相关的领域软件工程方面形成了研究特色,软件工程
信号与信息处理,以人工智能理论和技术为主线，一方面研究智能信息处理新理论，研发深度学习、大数据分析、现代信号处理等方面的新技术，另一方面研究上述理论和技术在油气、海洋等行业中的拓展和应用，为行业发展提供充分发挥人工智能驱动的新理论与新技术。,信息与通信工程
通信与信息系统,以声、光、电、磁为信息载体，一方面研究信道建模、干扰管理、动态组网、主被动探测、阵列信号处理等通信基础理论和关键技术，另一方面研究无人观测系统、组网通信设备、探测与定位装备等系统研制和集成技术，为能源、海洋等行业提供技术支持。,信息与通信工程
大地测量学与测量工程,以测量数据处理理论与方法为基础，研究多模GNSS导航定位与应用、影像大地测量、重力反演、卫星测高、海洋地球动力学、精密工程测量技术与方法注重与地球物理学、信息科学、海洋科学等多学科交叉应用，解决大地测量学与测量工程关键理论与方法间题,测绘科学与技术
摄影测量与遥感,以摄影测量与遥感理论与技术研究为主要特点，研究遥感图像信息处理与应用、海洋环境遥感、海岸带监测、灾害遥感、地球物理勘探遥感技术、地理国情普查、土地利用/土地覆盖变化遥感检测与生态环境评价技术与方法，注重与计算机科学、环境科学、人工智能等多学科融合应用，解决摄影测量与通感关键理论与技术问愿,测绘科学与技术
地图制图学与地理信息工程,以地图制图学与地理信息工程理论与技术应用为主要特点，研究GIS工程，GIS软件开发与系统集成，GIS数据库技术，智慧油田、智慧海洋，智慧城市技术与方法。注重与计算机科学、大数据技术、数据挖播等多学科技术交叉应用，解决地图制图学与地理信息工程关键技术与方法问题,测绘科学与技术
海洋测绘,以海洋测绘理论与方法研究为主要特点，研究海岛海岸带调查，海洋动力环境调查、海洋测深、海底地貌、海洋导航定位、海洋环境监测技术与方法。注重与海洋科学、信息科学、环境科学等多学科交义融合，解决海洋测绘关键理论与技术问题,测绘科学与技术
船舶与海洋结构物及油气装备设计制造,主要培养从事海洋平台设计建造及安装、单点系泊系统设计与建造、海浮油气装备设计制造工作的高级专门人才,船舶与海洋结构物设计制造
海洋工程流体动力学,主要培养从事船舶流体力学、波浪力学、悬空海底管线流固耦合分析、海洋立管流固动力学耦合分析、FPSO和浮式平台的动态响应分析等工作的高级专门人才,船舶与海洋结构物设计制造
海洋岩土工程计与分析,主要培养从事隔水导管及柱基设计与施工、锚泊系统设计与施工、钻井平台插拔桩设计分析、海底管线设计与施工、水下井口设计与安装、海底滑坡分析等工作的高级专门人才,船舶与海洋结构物设计制造
企业战略与可持续发展,本方向以企业的战略分析、战略选择、战略实施和评价为主线，系统研究外部环境机会威胁与行业竞争、内部资源能力与优势劣势、业务层战略以及公司层战略。主要研究视角既包括战略各主要流派的理论研究，也包括并购重组、战略联盟等应用性分析。结合环境敏感型行业的特点及战略管理学术前沿，注重把社会责任和创新创业纳入企业战略，促进社会可持续发展。,工商管理
营销与服务管理,以企业与市场关系为研究对象，探讨企业市场营销理念、机制和方法。主要研究现代营销与服务管理、市场营销导向、顾客价值与顾客满意、市场营销战略与计划、市场与消费者购买行为分析、产品开发与决策、定价理论与方法、分销渠道设计与管理、整合营销沟通、营销绩效评价。结合营销领域学术前沿，注重服务营销、网络营销、大数据营销、绿色营销及社会化商务等方面的研究。,工商管理
组织与人力资源管理,以组织中的个体、群体、整个组织及其与外部环境互动过程中的行为研究对象，对各层面的行为规律进行系统的理论研究，同时以此为基础进行人力资源的获取、开发、保持、利用等方面的应用性研究。结合该领域的学术前沿，注重数字经济下的新兴组织形态（如平台型组织等）团队过程以及中国情境下高绩效组织和领导者的本土特征方面的研究。,工商管理
油气地质,该方向以油气资源地质理论与技术为主要特点，研究油气勘探开发地质理论和关键技术，注重利用地学、地球物理学、信息科学等多学科理论和方法，解决国家油气源的陆上常规、深层和非常规一低渗透油气三大战略及接替领城的重大地质问题，培养服务于国家油气资源勘探与管理的高级人才。,地质资源与地质工程
应用地球物理,该方向以地球物理基础理论与探测方法技术为主要特点，研究地层各种地球物理场基本特征、地面/并下地球物理探测方法和技术、资料信息处理和综合解释的理论与方法，注重运用地球物理方法与电子信息、数学等学科融合，解决地学重大基础理论和工程问题中的应用，培养服务于国家资源/能源科学研究、技术研发与管理的高级人才。,地质资源与地质工程
地质工程,该方向以油气田地质工程和工程环境物探的理论和技术方法为主要特点，研究工程地质特性、工程地球物理基本理论、矿产资源/能源勘查开发领域工程地质评价方法和技术，注重岩石学，地球化学、地球物理学、工程学等学科交叉，解决地质工程领域中的重大问题，为培养地质工程、自然灾害及环境监测领域科学研究和管理的高级人才。,地质资源与地质工程
减污降碳与资源化利用,以能源行业领域减污降碳协局增效及污染物资源化利用技术为重点研究对象，综合运用化学、物理学、生物学、材料学等学科的理论与方法，重点开展水污染控制、大气污染控制、固体废物处理及处置、资源化综合利用等方面的技术研究工作，设计开发相关新型高效催化剂及环境功能材料，形成减污降碳及污染物资源化利用新技术及关键装备,环境科学与工程
风险评估与控制,结合现有国家和地方环境与安全风险评估相关法律法规、政策、导则、规范、标准、指南等要求，重点开展能源行业污染物的定性定量分析新方法、环境行为特性及环境效应、环境影响评估及排污许可、环境风险综合评价、安全控制及预警评价、安全生产技术等方面的研究，开发特征污染物的分析分法、环境影响评估新技术、排污许可技术、环境风险控制和安全风险预警控制理论和新技术.事故预防与风险控制理论和技术等,环境科学与工程
污染环境生态修复,针对能源行业高速发展造成的潜在环境生态胁追，重点开展“能源一环境-生态”污染作用机制、污染环境的生态修复新技术以及相关修复材料及药剂等方面的研究，形成环境污染土壤“物理一化学-生物”联合修复技术、海岸线溢油污染“化学一生物”生态修复技术以及土壤一地下水多目标原位修复技术及装备等,环境科学与工程
海洋油气装备工程,本培养方向主要开展深水防喷器、深水半潜式生产平台、水下采油树装各、深水水下装备工程、分离器装各、海洋油气压裂作业系统研制、水下混输增压泵、隔水管系统和深水半潜式平台钻并系统，以及其他海洋油气装备工程相关的理论与技术研究工作,机械工程
石油机械工程,本培养方向主要围绕陆地油气钻井装备、采油装备、修井装备、油气输送装备、油井井下工具等的工作理论和技术开展研究工作,机械工程
机械制造及其自动化,本培养方向主要开展高能脉冲电火花高速铣削技术与理论及其数控机床、绿色高效电火花成形加工技术及理论、高强高硬难加工材料特种加工技术及装备、高端基础零部件的加工技术及理论、智能制造技术及理论等方面的研究工作。,机械工程
机械电子工程,本培养方向主要围绕智能化数控加工装备、机器人技术、智能汽车、深水防喷器控制与诊断系统、深水智能化全电采油树系统、油气装备的检测与智能化控制技术及理论等开展研究工作。,机械工程
机械设计及理论,本培养方向重点围绕机械优化设计理论与方法、机械结构拓扑设计、机械系统与机械结构可靠性设计方法及理论、计算机辅助机械工程技术及理论等开展研究工作,机械工程
专项教学理论与方法,本方向重视培养卓越体育教师，在体育专项基础理论、学校体育教学理论、专项教学技能等专业知识方面形成特色，了解学校体育教学改革和科研的发展趋势，培养面向各级水平、各级层次的新时代体育教师人才,体育学
专项训练理论与方法,本方向注重从运动训练的原理出发，紧跟当代体能训练实践需要，在运动训练理论与方法、核心力量训练以及拉伸训练等方面形成特色，旨在培养面向竞技体育、学校高水平训练队以及课余体育训练队的教练员及科研人员。学校建有多支高水平运动队，竞技体育成绩突出，训练理论与实践经验丰富，对促进学校体育改革与提高运动训练的科学性，培养优秀体育人才奠定了基础。,体育学
社会体育与健康管理,本方向注重具有体育基础理论、社会体育指导理论研究，在大众体育、养生健身、体闲娱乐及特殊人群运动、健身等方面形成了自身特色。本学位点日前建有两个基地，国家体育总局体育文化研究中心和山东省少数民族传统训练基地同时建有两门山东省社区精品课程资源，课程资源和基地的建设为研究生的培养提供了良好的平台。,体育学
 结构强度及可靠性, 本方向主要针对能源、机械、海洋等领域工程装备和结构，研究油气井管柱与管道、海洋平台、石油机械等的结构设计、性能优化与安全评价，培养学生对实际工程结构的力学建模、数值模拟以及实验测试等方面的能力。,力学
 油气深层岩石力学, 本方向主要针对油气勘探开发领域，研究深部地层高温、高压、高应力环境下岩石/岩体的非线性、流变、破坏等力学行为，培养学生应用连续介质力学与多场耦合理论建立力学模型，开展岩石物理实验、数值模拟分析与解决工程关键力学问题的能力。,力学
 海洋工程流体力学, 本方向主要针对油气开发领域资源与装备，分析海上油气开采装备的结构水动力特性，研究油气井多相流体运移及规律，培养学生应用流体力学理论和计算流体动力学方法，解决海洋油气工程关键力学问题的能力。,力学
 先进材料与结构力学, 本方向主要针对航空、航天、能源等领域，研究压电复合材料、纳米智能材料等先进材料在复杂电-磁-热-力环境下的行为特性，培养学生开展现代材料性能实验，建立材料宏、细观本构模型，进行结构优化设计的能力。,力学
海洋沉积学,作为海洋学和沉积学的边缘交义学科，主要研究海底现代沉积物及固态圈层的沉积物类型、组成、沉积环境、分布规律及其演化，以及海洋油气储层的成因、特征与演化等，该方向以海域沉积盆地为研究对象，在盆地构造格局及沉积充填结构研究的基础上，分析石油地质条件，明确油气富集规律，对海洋油气资源有无、储量、聚集方式和潜在经济效益等间题进行评价，以海陆结合为特色，海洋及相邻陆区油气资源动探、构造地球物理、地球动力学与空间物理研究为总目标，注重海浮油气资源的地球物理探测新方法、新技术的研究和开发为海洋油气资源的开发和利用、海洋环境地球科学研究等提供基础资料和技术支撑,海洋地质
物理场探测方法与技术,主要研究物理场（电磁场、声波等）在地下、油并和海洋目标探测中的方法及应用，包括电磁探测和声波深测技术中的基本原理与方法研究：复杂介质中电磁波及声波传播规律研究；水下物理场信号产生机理、空间分布特征及在典型海域的传播规律研究.,物理学
能源物理理论与技术,主要研究非常规油气、氧能、核能、海洋能等开发、存储过程中的物理理论与技术，包括非常规油气藏开发的物理方法；氢能、海洋能开发及存储理论与技术，核能与核技术的理论和应用方法.,物理学
凝聚态物理,主要从微观角度出发，研究由大量粒子（原子、分子、离子、电子）组成的凝聚态的结构、动力学过程及其与宏观物理性质之间的联系，包括光电材料、热电材料、纳米功能材料等新能源材料中光电和热电输运特性等基本物理问题：低维纳米结构稳定性和低维纳米结构可控组装及功能化：材料自组装微结构、纳米力学、纳米流体输运特性.,物理学
理论物理,主要在实验现象的基础上以理论分析与数值计算为手段，探索自然界未知的物质结构、相互作用和物质运动的基本规律，包括原子核结构与反应，低维强关联电子系统的新奇量子相，分子和离子碰撞电离，高能强子强子碰撞等方向的理论研究.,物理学
智能信息处理,研究人工智能、深度学习、数据挖掘与知识发现、决策模型等智能信息处理领域的先进理论，以及自然语言处理、智能信息检索、智能化信息存储的先进智能信息处理技术，并将之应用于油气储层评价、智能控制系统、智能油田、智慧海洋等领域,计算机科学与技术
网络与服务计算,研究工业互联网、物联网、服务计算等先进网络及服务技术以及下一代网络中的分布对象计算模型、网络安全、网络建模与模拟、普适环境中Web服务和上下文感知服务等理论与实现机制，并将之应用于油气勘探开发、海洋环境监测、社会舆情监控等领域,计算机科学与技术
图形图像与可视化,研究数字图像处理、图像理解、计算机视觉、科学计算可视化、虚拟现实、模式识别、计算机图形学、计算机图像检索等图形图像及其先进可视化基础理论和技术，并将之应用于三维地震资料可视化解释、油藏数值模拟描述可视化、地表和地震体高性能处理等领域,计算机科学与技术
数据科学与信息系统,研究数据挖掘与数据分析、大数据与云计算系统、信息检索、生物大数据等的基础理论和技术，掌握软件工程基本原理与应用技术，研究信息系统设计与构建方法，并将之应用于能源大数据、医疗大数据、智慧城市等领域,计算机科学与技术
能源经济与政策,围绕能源组织与能源产业结构、能源价格和税收、能源资源的优化配置和能源政策等主题展开研究，包含的重点领域是油气经济、新能源、能源行业的管制政策，以及可再生能源发展等能源结构转型开级的激励政策等；能源市场化改革及能源产业结构所做各种分析等；油气产业的国际合作、国际油价的波动及其预警以及产油国国别政策等,应用经济学
产业经济与区域发展,围绕区域经济发展以及产业结构、产业组织、产业发展、产业布局和产业政策等主题展开研究。包含的重点领域是：地区性高新技术产业发展战略问题，区域可持续发展问题，以及地区经济发展战略的统筹布局等问题,应用经济学
资源与环境经济,围绕资源与环境经济特性，从外部性、公共物品、可持续发展等方面展开研究，包含企业实现绿色发展所需解决的各种金融问题等；资源型城市可持续发展问题、区域经济增长和环境治理问题等；资源市场化改革以及资源高效利用等；自然资源环境的发展与保护方面的金融政策的分析等,应用经济学
油气开发测控技术,面向油气开发测控领域的技术难题，应用控制科学与工程、仪器科学与技术、人工智能等多学科交叉技术，研究旋转导向钻井技术、随钻高速传输技术、测控装备的故障检测与健康管理、水合物/CO2地层动态监测等技术。相关研究成果能够服务学校新一轮双一流学科建设，为我国研发具有自主知识产权的油气测控装备提供理论基础和技术支撑。,控制科学与工程
智能控制与优化技术,智能控制与优化技术以控制论、运筹学、机器学习等理论为基础，利用系统分析、建模和辨识方法揭示系统的内在运行规律，通过控制和优化方法获得满足复杂约束条件下的最优决策。该方向在智慧油田、智能工厂、机器人路径规划和协同控制、油藏模拟和地震信号处理等复杂系统的建模和模拟方面等方面开展应用研究，为行业与地区经济发展带来新动力。,控制科学与工程
模式识别与智能感知技术,以人工智能、信息处理、脑科学理论、群智感知为基础，以数学方法与计算机为主要工具，探索对各种信息进行分析、理解并在此基础上构造具有安全智能特性的可信任系统或装置的方法、途径与实现，研究文字、语音、图像、视频等信息的分析、通信、识别与应用方法：研究机器学习、人工智能、脑认知科学、群智安全等理论。本方向在智慧油田、智能测井、智能医疗、智慧城市等领域具有广阔的应用前景，环境监测、工业安全、民生健康、案件可穿戴、电子皮肤等领域开展智能传感系统研发，研究微纳检测与先进传感技术、智能感知器件制造技术、微流控芯片、微系统检测技术等，力争获得具有国际领先水平的研究成果，助力控制学科的发展，并为仪器学科发展奠定基础。,控制科学与工程
微纳传感技术与微系统,针对半导体高精密测试以及下一代通信技术对自由空间时频基准高准确度传输的需求难题，该方向基于先进激光技术实现远距离绝对距离测量、激光加工、时频基准传输、气体光谱测量、瞬态全息成像等超精密溯源测量和微纳米芯片加工技术；研究极端环境和参数光电传感器和探测器件：针对半导体材料的光学特性、电学特性及几何特性，研究专用测试系统。打破国外在线精密计量、光学探测器件和高精度加工技术垄断，为我国相关大型制造业和航空航天、硅圆晶片检测和高缝芯片制造提供有力的技术支持。,控制科学与工程
光学精密测量与微加工技术,,控制科学与工程
油气集输,面向带规与非带规油气、氢、二氧化碳等流体生产工艺、设备开展创新研究，研究内容主要包括多相计量技术、多相理论与混输技术、油气水处理技术、天然气处理与液化、深水油气集输理论与技术、低碳集输理论与技术、氢集输技术、二氧化碳捕集与利用理论与技术等,油气储运工程
